Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Common Hill Myna,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038462,0.0,0.0024938
European Starling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089286,0.003937,0.0076923,0.005988,0.0074813
Daurian Starling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indian Pied Starling,0.5413793,0.6146179,0.6403785,0.6327543,0.5492063,0.5378788,0.5665236,0.5654762,0.484252,0.5153846,0.5508982,0.5486284
Brahminy Starling,0.0,0.0,0.0,0.0,0.0,0.0,0.0042918,0.0029762,0.0,0.0,0.002994,0.0024938
Chestnut-tailed Starling,0.2965517,0.3521595,0.3785489,0.3473945,0.3269841,0.3143939,0.4077253,0.3184524,0.2519685,0.3,0.2814371,0.3067332
Common Myna,0.5827586,0.6478405,0.6214511,0.573201,0.6,0.5795455,0.6223176,0.6190476,0.5393701,0.5538462,0.5658683,0.5610973
Bank Myna,0.0344828,0.0598007,0.0725552,0.0545906,0.0634921,0.0606061,0.055794,0.0922619,0.0748031,0.05,0.0838323,0.0773067
Jungle Myna,0.2965517,0.3953488,0.340694,0.3473945,0.3555556,0.3143939,0.4334764,0.3839286,0.3425197,0.3846154,0.3083832,0.3466334
Great Myna,0.0,0.0,0.0,0.0,0.0,0.0,0.0042918,0.0,0.0,0.0115385,0.008982,0.0
myna/starling sp.,0.0,0.0,0.0,0.0,0.0031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
Dark-sided Thrush,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0
Scaly Thrush,0.0,0.0,0.0,0.0,0.0063492,0.0113636,0.0128755,0.0238095,0.007874,0.0115385,0.008982,0.0074813
Purple Cochoa,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orange-headed Thrush,0.0275862,0.0863787,0.044164,0.0322581,0.0253968,0.0265152,0.0214592,0.0446429,0.0393701,0.0346154,0.008982,0.0199501
Tickell's Thrush,0.0,0.0,0.0031546,0.0099256,0.015873,0.0075758,0.0042918,0.0029762,0.011811,0.0038462,0.0,0.0099751
Black-breasted Thrush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eyebrowed Thrush,0.0,0.0,0.0,0.0024814,0.0031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White-collared Blackbird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black-throated Thrush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turdus sp.,0.0,0.0,0.0,0.0024814,0.0,0.0,0.0,0.0029762,0.0,0.0,0.0,0.0
Dark-sided Flycatcher,0.0,0.0033223,0.0,0.0049628,0.0031746,0.0037879,0.0,0.0,0.0,0.0,0.0,0.0
Asian Brown Flycatcher,0.0,0.0066445,0.0063091,0.0,0.0031746,0.0037879,0.0,0.0,0.0,0.0038462,0.0,0.0
