Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Small Minivet,0.0769231,0.032967,0.0555556,0.06,0.0277778,0.0421053,0.1190476,0.0454545,0.0588235,0.0909091,0.0363636,0.1111111
Scarlet Minivet,0.1025641,0.043956,0.0555556,0.04,0.0416667,0.1263158,0.0357143,0.125,0.1176471,0.1558442,0.0909091,0.1111111
Ashy Minivet,0.0,0.0,0.0,0.02,0.0277778,0.0526316,0.0119048,0.0113636,0.0,0.0,0.0,0.0277778
Brown-rumped Minivet,0.0,0.0,0.0,0.02,0.0,0.0210526,0.047619,0.0795455,0.0196078,0.1168831,0.0545455,0.0833333
Rosy Minivet,0.025641,0.0,0.0,0.0015,0.0694444,0.1052632,0.0714286,0.0568182,0.0392157,0.1428571,0.0909091,0.1388889
minivet sp.,0.0,0.021978,0.0,0.0,0.0138889,0.0210526,0.0,0.0113636,0.0196078,0.0,0.0,0.0555556
Indian Cuckooshrike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oriental Cuckooshrike,0.025641,0.043956,0.0416667,0.04,0.0138889,0.0631579,0.0595238,0.0340909,0.0588235,0.0779221,0.0181818,0.0555556
Black-winged Cuckooshrike,0.0,0.0,0.0138889,0.0,0.0,0.0105263,0.0119048,0.0568182,0.0196078,0.1168831,0.0545455,0.125
Black-headed Cuckooshrike,0.0,0.0,0.0,0.0,0.0138889,0.0105263,0.0,0.0113636,0.0,0.0,0.0181818,0.0277778
White-bellied Erpornis,0.0769231,0.0,0.0138889,0.0,0.0,0.0315789,0.0119048,0.0340909,0.0,0.038961,0.0363636,0.0138889
Indian Golden Oriole,0.0,0.032967,0.0,0.04,0.0,0.0,0.0,0.0113636,0.0,0.0519481,0.0181818,0.0
Black-naped Oriole,0.0512821,0.0549451,0.0,0.08,0.0277778,0.0421053,0.0,0.0340909,0.0,0.0519481,0.0181818,0.0416667
Slender-billed Oriole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black-hooded Oriole,0.3333333,0.4395604,0.3055556,0.34,0.3333333,0.3263158,0.3809524,0.3977273,0.3921569,0.5194805,0.4181818,0.4027778
Maroon Oriole,0.0,0.0,0.0,0.0,0.0,0.0210526,0.0,0.0113636,0.0,0.038961,0.0,0.0015
old world oriole sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashy Woodswallow,0.1794872,0.2197802,0.1527778,0.08,0.0972222,0.0736842,0.1190476,0.0454545,0.0980392,0.1818182,0.0363636,0.1527778
Large Woodshrike,0.0512821,0.0,0.0,0.02,0.0,0.0,0.0119048,0.0227273,0.0196078,0.0,0.0,0.0138889
Common Woodshrike,0.0,0.0,0.0138889,0.0,0.0,0.0,0.0,0.0113636,0.0196078,0.0,0.0,0.0
Bar-winged Flycatcher-shrike,0.025641,0.043956,0.0277778,0.04,0.0,0.0,0.0357143,0.0681818,0.0196078,0.1298701,0.0,0.0416667
Common Iora,0.4358974,0.2857143,0.1666667,0.26,0.1805556,0.2210526,0.2619048,0.2272727,0.1764706,0.3246753,0.2727273,0.2916667
White-throated Fantail,0.0,0.021978,0.0277778,0.12,0.0277778,0.0105263,0.0357143,0.0454545,0.0784314,0.1298701,0.0181818,0.0555556
Black Drongo,0.5641026,0.6813187,0.5277778,0.58,0.5138889,0.6210526,0.4880952,0.4886364,0.4901961,0.4025974,0.4181818,0.5
Ashy Drongo,0.0,0.0659341,0.0694444,0.14,0.0555556,0.0947368,0.0714286,0.0909091,0.0980392,0.1038961,0.1636364,0.1944444
Bronzed Drongo,0.3076923,0.2527473,0.1805556,0.34,0.2083333,0.2736842,0.2738095,0.2727273,0.1764706,0.2077922,0.1636364,0.1527778
Lesser Racket-tailed Drongo,0.0769231,0.043956,0.0416667,0.1,0.0277778,0.0631579,0.0952381,0.0568182,0.0392157,0.1038961,0.0727273,0.1111111
Hair-crested Drongo,0.1282051,0.1428571,0.0694444,0.16,0.0555556,0.1578947,0.047619,0.1477273,0.1176471,0.2337662,0.2181818,0.2638889
Greater Racket-tailed Drongo,0.0769231,0.1318681,0.125,0.16,0.0833333,0.1052632,0.202381,0.1363636,0.0980392,0.2727273,0.2363636,0.2361111
drongo sp.,0.0,0.0,0.0138889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138889
