Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jungle Owlet,0.03,0.0351759,0.0379747,0.1013514,0.0775862,0.0606061,0.1123596,0.0724638,0.0941176,0.015625,0.0547945,0.0346535
Spotted Owlet,0.16,0.120603,0.1139241,0.1418919,0.1637931,0.1515152,0.1348315,0.0724638,0.1176471,0.109375,0.0958904,0.1039604
Short-eared Owl,0.0,0.0,0.0,0.0,0.0,0.010101,0.0224719,0.0434783,0.0352941,0.0625,0.0136986,0.0247525
Brown Boobook,0.02,0.040201,0.0696203,0.0337838,0.0172414,0.030303,0.0561798,0.0217391,0.0235294,0.0625,0.0136986,0.0148515
owl sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eurasian Hoopoe,0.03,0.0854271,0.1265823,0.1418919,0.137931,0.1616162,0.2247191,0.1231884,0.1529412,0.1875,0.1643836,0.1732673
Blue-bearded Bee-eater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asian Green Bee-eater,0.13,0.1909548,0.1835443,0.2364865,0.1982759,0.1919192,0.2808989,0.2971014,0.2705882,0.296875,0.2876712,0.3514851
Blue-tailed Bee-eater,0.04,0.0301508,0.0063291,0.0135135,0.0,0.0,0.0,0.0,0.0235294,0.0,0.0,0.0049505
Chestnut-headed Bee-eater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072464,0.0,0.0,0.0,0.0049505
bee-eater sp.,0.0,0.0,0.0063291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Kingfisher,0.33,0.2864322,0.2594937,0.2702703,0.2844828,0.2020202,0.3932584,0.3188406,0.3176471,0.34375,0.369863,0.4257426
Stork-billed Kingfisher,0.2,0.1708543,0.1075949,0.1283784,0.2068966,0.0909091,0.1460674,0.1666667,0.1176471,0.078125,0.1506849,0.1435644
Ruddy Kingfisher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White-throated Kingfisher,0.38,0.3819095,0.3544304,0.3851351,0.3275862,0.3434343,0.4382022,0.4710145,0.4235294,0.359375,0.3972603,0.539604
Pied Kingfisher,0.11,0.1507538,0.1835443,0.2364865,0.1465517,0.1818182,0.2022472,0.2753623,0.2,0.234375,0.3287671,0.2475248
Indian Roller,0.01,0.0050251,0.0063291,0.0,0.0086207,0.0,0.0224719,0.0072464,0.0,0.015625,0.0273973,0.019802
Indian x Indochinese Roller (hybrid),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072464,0.0,0.0,0.0,0.0049505
Indian/Indochinese Roller,0.0,0.0050251,0.0063291,0.0,0.0,0.0,0.0,0.0,0.0117647,0.0,0.0,0.0049505
Coppersmith Barbet,0.07,0.1909548,0.1518987,0.0878378,0.0775862,0.0909091,0.0786517,0.0869565,0.1176471,0.0,0.0273973,0.0643564
Blue-eared Barbet,0.0,0.0,0.0126582,0.0,0.0,0.010101,0.0,0.0,0.0,0.0,0.0,0.0
Lineated Barbet,0.01,0.0,0.0063291,0.0067568,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0049505
Blue-throated Barbet,0.38,0.3015075,0.335443,0.3040541,0.2672414,0.2424242,0.2808989,0.2391304,0.2235294,0.1875,0.1780822,0.2277228
Eurasian Wryneck,0.0,0.0100503,0.0063291,0.0067568,0.0086207,0.020202,0.0224719,0.0289855,0.0,0.046875,0.0,0.0247525
Brown-capped Pygmy Woodpecker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fulvous-breasted Woodpecker,0.08,0.1155779,0.1708861,0.0878378,0.0948276,0.0909091,0.1123596,0.1014493,0.1411765,0.09375,0.0821918,0.1188119
Greater Flameback,0.0,0.0050251,0.0189873,0.0067568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049505
Rufous Woodpecker,0.0,0.0150754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common Flameback,0.0,0.0,0.0,0.0,0.0,0.0,0.011236,0.0,0.0,0.0,0.0,0.0
Black-rumped Flameback,0.29,0.2512563,0.2658228,0.3243243,0.2068966,0.1717172,0.2359551,0.2898551,0.2588235,0.1875,0.2054795,0.2772277
flameback sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Streak-throated Woodpecker,0.01,0.0502513,0.0506329,0.027027,0.0086207,0.0,0.0337079,0.0289855,0.0,0.0625,0.0273973,0.0148515
Streak-breasted Woodpecker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gray-headed Woodpecker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986,0.0
woodpecker sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eurasian Kestrel,0.01,0.0251256,0.0696203,0.1013514,0.1206897,0.1919192,0.1573034,0.1449275,0.1764706,0.140625,0.1506849,0.2079208
Red-necked Falcon,0.0,0.0100503,0.0126582,0.0,0.0172414,0.030303,0.0,0.0072464,0.0,0.0,0.0,0.0049505
Amur Falcon,0.0,0.0201005,0.0,0.0,0.0172414,0.010101,0.0,0.0,0.0,0.0,0.0,0.0
Eurasian Hobby,0.01,0.0,0.0,0.0067568,0.0086207,0.0,0.0,0.0,0.0,0.0,0.0136986,0.0049505
Peregrine Falcon,0.03,0.0351759,0.1012658,0.1081081,0.1551724,0.1212121,0.1460674,0.1666667,0.1529412,0.140625,0.0684932,0.0940594
falcon sp.,0.0,0.0,0.0063291,0.0067568,0.0,0.0,0.0,0.0,0.0,0.0015,0.0136986,0.0
diurnal raptor sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072464,0.0,0.0,0.0,0.0
Alexandrine Parakeet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0015,0.0,0.0049505
Rose-ringed Parakeet,0.16,0.1758794,0.1772152,0.2297297,0.1982759,0.1616162,0.1797753,0.1811594,0.1764706,0.109375,0.0958904,0.1584158
Plum-headed Parakeet,0.01,0.0150754,0.0126582,0.0,0.0,0.0,0.0,0.0072464,0.0,0.0015,0.0,0.0
Red-breasted Parakeet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parakeet sp.,0.0,0.0,0.0,0.0135135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indian Pitta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Small Minivet,0.03,0.0904523,0.1202532,0.0608108,0.0775862,0.0606061,0.0561798,0.0434783,0.0705882,0.0015,0.0547945,0.0594059
Scarlet Minivet,0.0,0.0,0.0063291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown-rumped Minivet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rosy Minivet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
minivet sp.,0.0,0.0,0.0126582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indian Cuckooshrike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oriental Cuckooshrike,0.0,0.0,0.0253165,0.0135135,0.0,0.0,0.011236,0.0,0.0,0.0,0.0,0.0049505
Black-winged Cuckooshrike,0.0,0.0100503,0.0189873,0.0135135,0.0,0.020202,0.0,0.0,0.0,0.0,0.0136986,0.0
Black-headed Cuckooshrike,0.04,0.0351759,0.0506329,0.027027,0.0344828,0.0505051,0.0224719,0.0434783,0.0352941,0.03125,0.0547945,0.0594059
Indian Golden Oriole,0.14,0.1256281,0.1139241,0.0540541,0.0517241,0.0909091,0.0786517,0.0942029,0.0588235,0.015625,0.0547945,0.039604
Black-naped Oriole,0.01,0.0,0.0063291,0.0,0.0,0.0,0.0,0.0072464,0.0,0.0,0.0,0.0049505
Black-hooded Oriole,0.32,0.3015075,0.335443,0.277027,0.2327586,0.2828283,0.3595506,0.3043478,0.2941176,0.28125,0.2739726,0.3267327
