Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
gull sp.,0.0,0.0,0.0,0.0,0.0,0.0015,0.0121951,0.0352941,0.008547,0.0,0.015625,0.0065359
Indian Skimmer,0.0,0.0089286,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0015
Lesser Noddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Little Tern,0.0,0.0357143,0.0517241,0.0232558,0.0232558,0.0015,0.0121951,0.1529412,0.0854701,0.0657895,0.046875,0.0457516
Gull-billed Tern,0.0015,0.0178571,0.0172414,0.0232558,0.0232558,0.08,0.0,0.0235294,0.017094,0.0394737,0.0625,0.0196078
Caspian Tern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0470588,0.034188,0.0131579,0.0078125,0.0
Whiskered Tern,0.0217391,0.0357143,0.137931,0.0465116,0.0697674,0.0015,0.0853659,0.0470588,0.034188,0.0131579,0.1015625,0.0130719
White-winged Tern,0.0,0.0,0.0015,0.0232558,0.0,0.0,0.0,0.0,0.008547,0.0,0.0,0.0
River Tern,0.0,0.0,0.0172414,0.0232558,0.0,0.0,0.0487805,0.0015,0.017094,0.0131579,0.0625,0.0065359
Common Tern,0.0217391,0.0267857,0.0344828,0.0015,0.0,0.0,0.0,0.0235294,0.008547,0.0263158,0.0234375,0.0065359
Sterna sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0121951,0.0015,0.0,0.0,0.0078125,0.0
Sandwich Tern,0.0,0.0,0.0,0.0,0.0,0.0,0.0121951,0.0470588,0.0,0.0,0.0,0.0
Lesser Crested Tern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0352941,0.0,0.0,0.0,0.0
Great Crested Tern,0.0,0.0267857,0.0344828,0.0232558,0.0,0.0,0.0243902,0.0705882,0.0512821,0.0263158,0.015625,0.0130719
tern sp.,0.0,0.0,0.0,0.0232558,0.0,0.0015,0.0121951,0.0,0.0,0.0131579,0.0015,0.0130719
Greater Flamingo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Little Grebe,0.0,0.0,0.0,0.0232558,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
Great Crested Grebe,0.0,0.0,0.0,0.0,0.0,0.0,0.0243902,0.0235294,0.0,0.0,0.0078125,0.0
Asian Openbill,0.0217391,0.0267857,0.0172414,0.0697674,0.0465116,0.0015,0.0609756,0.0352941,0.042735,0.0789474,0.109375,0.0718954
Painted Stork,0.0,0.0089286,0.0172414,0.0,0.0697674,0.04,0.0121951,0.0117647,0.008547,0.0,0.0,0.0
Red-footed Booby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oriental Darter,0.0,0.0,0.0,0.0232558,0.0,0.0,0.0243902,0.0,0.008547,0.0394737,0.0625,0.0196078
Little Cormorant,0.2608696,0.3125,0.3793103,0.3488372,0.255814,0.2,0.2439024,0.3294118,0.2820513,0.3026316,0.3515625,0.3071895
Great Cormorant,0.0,0.0,0.0172414,0.0697674,0.0232558,0.04,0.0,0.0117647,0.025641,0.0263158,0.0625,0.0065359
Indian Cormorant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cormorant sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0078125,0.0
Glossy Ibis,0.0,0.0089286,0.0,0.0,0.0,0.0,0.0,0.0,0.008547,0.0,0.0234375,0.0
Black-headed Ibis,0.0434783,0.0089286,0.0172414,0.0232558,0.0465116,0.04,0.0609756,0.1411765,0.1111111,0.1052632,0.15625,0.0849673
Eurasian Spoonbill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0
Black Bittern,0.0015,0.0,0.0,0.0,0.0,0.0,0.0121951,0.0,0.0,0.0,0.0,0.0
Cinnamon Bittern,0.0217391,0.0089286,0.0172414,0.0,0.0,0.0015,0.0,0.0117647,0.0,0.0,0.03125,0.0196078
Yellow Bittern,0.0434783,0.0446429,0.0517241,0.0,0.0,0.0,0.0,0.0352941,0.008547,0.0,0.015625,0.0130719
Black-crowned Night Heron,0.0434783,0.0446429,0.0689655,0.0465116,0.0015,0.0015,0.0731707,0.0352941,0.025641,0.0131579,0.0390625,0.0130719
Malayan Night Heron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pacific Reef-Heron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0131579,0.0015,0.0065359
Little Egret,0.173913,0.2946429,0.2758621,0.255814,0.3255814,0.12,0.2195122,0.3764706,0.2735043,0.3289474,0.34375,0.2026144
Western Reef-Heron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131579,0.0,0.0
Striated Heron,0.0217391,0.0089286,0.0344828,0.0697674,0.0697674,0.0015,0.0,0.0117647,0.025641,0.0131579,0.0234375,0.0261438
Indian Pond-Heron,0.326087,0.3482143,0.4137931,0.372093,0.4418605,0.28,0.3414634,0.3764706,0.4017094,0.4342105,0.546875,0.4313725
pond-heron sp.,0.0,0.0267857,0.0,0.0232558,0.0,0.0,0.0,0.0470588,0.025641,0.0657895,0.0078125,0.0457516
Eastern Cattle-Egret,0.173913,0.2410714,0.2241379,0.2325581,0.255814,0.12,0.2195122,0.1882353,0.1538462,0.1578947,0.21875,0.1960784
Great Egret,0.0869565,0.1339286,0.1551724,0.1162791,0.1162791,0.08,0.097561,0.2235294,0.1880342,0.1842105,0.21875,0.1176471
Medium Egret,0.0217391,0.0446429,0.1034483,0.0465116,0.0697674,0.0015,0.1097561,0.0352941,0.0854701,0.1184211,0.125,0.0326797
Gray Heron,0.0,0.0267857,0.0689655,0.0232558,0.1162791,0.08,0.0487805,0.2,0.0769231,0.1315789,0.15625,0.0849673
Purple Heron,0.0,0.0,0.0,0.0015,0.0232558,0.0,0.0243902,0.0117647,0.0,0.0394737,0.0546875,0.0
heron sp.,0.0,0.0089286,0.0172414,0.0,0.0,0.0,0.0121951,0.0,0.0,0.0,0.0078125,0.0
white egret sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008547,0.0131579,0.015625,0.0065359
Great White Pelican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Osprey,0.0217391,0.0267857,0.0517241,0.0697674,0.0697674,0.08,0.0243902,0.1058824,0.0940171,0.0394737,0.0546875,0.0130719
Black-winged Kite,0.0,0.0178571,0.0,0.0,0.0465116,0.0015,0.0121951,0.0,0.0,0.0015,0.015625,0.0065359
Jerdon's Baza,0.0,0.0535714,0.0172414,0.0232558,0.0015,0.0,0.0487805,0.0,0.008547,0.0131579,0.0078125,0.0065359
Black Baza,0.0,0.0,0.0015,0.0,0.0,0.0,0.0487805,0.0,0.0,0.0,0.0,0.0065359
Oriental Honey-buzzard,0.0217391,0.0714286,0.0015,0.0465116,0.1395349,0.0,0.1341463,0.0117647,0.008547,0.0131579,0.03125,0.0130719
Himalayan Griffon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0078125,0.0
White-rumped Vulture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0
Gyps sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
old world vulture sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crested Serpent-Eagle,0.0652174,0.1071429,0.0862069,0.0232558,0.0697674,0.04,0.0853659,0.0235294,0.0512821,0.0657895,0.015625,0.0588235
Short-toed Snake-Eagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0
Mountain Hawk-Eagle,0.0,0.0015,0.0,0.0,0.0232558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Changeable Hawk-Eagle,0.0217391,0.0,0.0172414,0.0232558,0.0,0.0,0.0,0.0235294,0.008547,0.0394737,0.0078125,0.0
Rufous-bellied Eagle,0.0217391,0.0,0.0,0.0232558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Eagle,0.0652174,0.0089286,0.0,0.0,0.0,0.0,0.0121951,0.0,0.0,0.0,0.015625,0.0
Indian Spotted Eagle,0.0015,0.0,0.0,0.0232558,0.0,0.0,0.0,0.0015,0.034188,0.0394737,0.0546875,0.0065359
Greater Spotted Eagle,0.0,0.0,0.0,0.0,0.0232558,0.0,0.0243902,0.0,0.017094,0.0394737,0.0703125,0.0065359
Booted Eagle,0.0,0.0089286,0.0,0.0,0.0465116,0.0,0.0365854,0.0235294,0.017094,0.0,0.015625,0.0130719
Steppe Eagle,0.0,0.0,0.0,0.0,0.0232558,0.0,0.0,0.0117647,0.0,0.0131579,0.0234375,0.0065359
Imperial Eagle,0.0,0.0089286,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0015,0.0
Crested Goshawk,0.0,0.0714286,0.0015,0.0465116,0.0,0.0,0.0243902,0.0,0.008547,0.0131579,0.0,0.0065359
Besra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shikra,0.1086957,0.1785714,0.137931,0.0930233,0.1395349,0.04,0.0609756,0.0588235,0.0512821,0.0263158,0.0625,0.0392157
Eurasian Sparrowhawk,0.0,0.0,0.0,0.0,0.0465116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Marsh Harrier,0.0,0.0178571,0.0,0.0,0.0,0.0015,0.0,0.0117647,0.0,0.0131579,0.0234375,0.0
Eastern Marsh Harrier,0.0,0.0,0.0,0.0,0.0232558,0.0,0.0121951,0.0,0.008547,0.0131579,0.03125,0.0
Pallid Harrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008547,0.0,0.0,0.0
Pied Harrier,0.0217391,0.0,0.0,0.0015,0.0232558,0.0,0.0121951,0.0015,0.0,0.0,0.0234375,0.0015
harrier sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0015
Black Kite,0.2391304,0.1071429,0.2068966,0.1627907,0.255814,0.16,0.1341463,0.1294118,0.1282051,0.1184211,0.2578125,0.1437908
Brahminy Kite,0.1086957,0.1071429,0.1551724,0.1162791,0.1395349,0.0015,0.1219512,0.0235294,0.1709402,0.1710526,0.34375,0.2941176
White-tailed Eagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131579,0.03125,0.0
Pallas's Fish-Eagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0121951,0.0,0.0,0.0,0.0,0.0065359
White-bellied Sea-Eagle,0.0,0.0178571,0.0,0.0,0.0,0.0,0.0,0.0,0.008547,0.0131579,0.0,0.0015
Gray-headed Fish-Eagle,0.0217391,0.0089286,0.0862069,0.0232558,0.0,0.0,0.0731707,0.0117647,0.0512821,0.0657895,0.09375,0.0718954
White-eyed Buzzard,0.0,0.0,0.0,0.0,0.0232558,0.0,0.0,0.0,0.008547,0.0,0.0,0.0
Common Buzzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-legged Buzzard,0.0,0.0,0.0015,0.0,0.0,0.0,0.0015,0.0117647,0.008547,0.0131579,0.015625,0.0
Eastern Buzzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0121951,0.0,0.0,0.0,0.0,0.0
Buteo/eagle sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hawk sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117647,0.0,0.0,0.0,0.0
eagle sp.,0.0,0.0089286,0.0,0.0,0.0232558,0.0015,0.0015,0.0,0.0,0.0,0.015625,0.0
Eastern Barn Owl,0.0434783,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0078125,0.0065359
